# ReconX - Source Statistics for bitfit.com
# Scan time: 2202.5s

Radar            14 subdomains
Shodan           20 subdomains
VirusTotal       25 subdomains
URLScan           3 subdomains
Torrent          15 subdomains
Oracle            5 subdomains
Censys           18 subdomains
Sphinx           10 subdomains
SecTrails        40 subdomains
Atlas            18 subdomains
Venom            25 subdomains
Sonar            32 subdomains
crt.sh           18 subdomains
──────────────────────────────
Total unique     45
